J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjOrdinalDM_xnjNormal,0,1,BebmS,3,0.39522540218257,0.7311577311577312,2.987681492169698,0.11616161616161617,0.3287187874648137,0.8801652892561983,0.06666666666666667,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,0,1,BebmS (Blind),3,0.39522540218257,0.7311577311577312,3.0412341197331747,0.23737373737373738,0.40560929259947265,0.90633608815427,0.05333333333333334,,1.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,0,1,Random Guessing,3,0.39522540218257,0.7311577311577312,0.0,0.46969696969696967,-0.0032740445653973898,4.260330578512397,6.1866666666666665,,1.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,0,1,SuStaIn (GMM),3,0.39522540218257,0.7311577311577312,4.898821715513865,0.3282828282828283,0.2953538895309089,1.628099173553719,2.1266666666666665,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,0,1,SuStaIn (KDE),3,0.39522540218257,0.7311577311577312,4.85067788362503,0.40404040404040403,0.08921506012541162,2.7079889807162534,3.6266666666666665,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,1,1,BebmS,3,0.4610256250651733,0.6534576534576535,7.833278199036916,0.25252525252525254,0.17503836917695678,1.7379310344827585,0.059602649006622516,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,1,1,BebmS (Blind),3,0.4610256250651733,0.6534576534576535,9.944123582045238,0.2727272727272727,0.14335162659217496,2.0386206896551724,1.8543046357615893,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,1,1,Random Guessing,3,0.4610256250651733,0.6534576534576535,0.0,0.45454545454545453,-0.001775015906741838,4.115862068965518,6.211920529801325,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,1,1,SuStaIn (GMM),3,0.4610256250651733,0.6534576534576535,15.298208105564118,0.17676767676767677,0.15550042509038314,1.2772413793103448,1.1059602649006623,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,1,1,SuStaIn (KDE),3,0.4610256250651733,0.6534576534576535,14.061333223183949,0.3080808080808081,0.011073102215935623,2.68,3.5165562913907285,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,2,1,BebmS,3,0.018534554818562553,0.6254856254856255,8.389557703336079,0.14646464646464644,0.3677377606508366,1.1475862068965517,0.23841059602649006,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,2,1,BebmS (Blind),3,0.018534554818562553,0.6254856254856255,10.791166166464487,0.20707070707070707,0.3373982246789249,1.136551724137931,0.25165562913907286,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,2,1,Random Guessing,3,0.018534554818562553,0.6254856254856255,0.0,0.41919191919191917,-0.0008956649729255839,4.2827586206896555,5.993377483443709,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,2,1,SuStaIn (GMM),3,0.018534554818562553,0.6254856254856255,13.886272501945495,0.20202020202020202,0.18692401605001258,1.2951724137931035,2.225165562913907,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,2,1,SuStaIn (KDE),3,0.018534554818562553,0.6254856254856255,14.453006180127462,0.3181818181818182,0.08078551617781467,2.308965517241379,3.0927152317880795,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,3,1,BebmS,3,0.1521950359093862,0.1623931623931624,2.9203992168108623,0.07070707070707072,0.8449503090297948,0.7258953168044077,0.0,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,3,1,BebmS (Blind),3,0.1521950359093862,0.1623931623931624,3.1253408551216126,0.09090909090909093,0.8076182819420985,1.078512396694215,0.0,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,3,1,Random Guessing,3,0.1521950359093862,0.1623931623931624,0.0,0.32323232323232326,-0.002006357304829707,4.21763085399449,6.46,,2.0,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,3,1,SuStaIn (GMM),3,0.1521950359093862,0.1623931623931624,5.612447706858317,0.1464646464646465,0.7876678649689641,1.0289256198347108,0.88,,,100,100
726,0.21,sn_kjOrdinalDM_xnjNormal,3,1,SuStaIn (KDE),3,0.1521950359093862,0.1623931623931624,4.859642267227173,0.3181818181818182,0.015607539786259108,2.4628099173553717,3.2466666666666666,,,100,100
